cluster,var,mean,sd,min,max
1,age,68.38,9.4,42,89
1,sex,0.43,0.5,0,1
1,pdonset,57.65,10.81,32,87
1,durat_pd,10.73,7.14,0,40
1,cisitot,13.07,4.55,2,24
2,age,63.43,9.55,37,89
2,sex,0.36,0.48,0,1
2,pdonset,56.44,10.62,28,89
2,durat_pd,6.99,4.94,0,28
2,cisitot,6.64,3.42,0,16
