"cluster","variable","mean","sd","min","max","se"
1,"age",62.698,9.597,34,89,0.436
1,"sex",0.376,0.485,0,1,0.022
1,"pdonset",56.039,10.506,28,89,0.478
1,"durat_pd",6.659,4.671,0,26,0.212
1,"cisitot",5.748,3.081,0,15,0.14
1,"nms_d1",0.822,1.68,0,12,0.076
1,"nms_d2",5.349,5.843,0,30,0.266
1,"nms_d3",4.366,6.498,0,40,0.295
1,"nms_d4",0.595,2.045,0,20,0.093
1,"nms_d5",3.51,5.169,0,32,0.235
1,"nms_d6",3.395,4.489,0,24,0.204
1,"nms_d7",5.655,7.062,0,36,0.321
1,"nms_d8",2.194,4.229,0,24,0.192
1,"nms_d9",4.971,6.265,0,48,0.285
1,"tremor",1.936,1.87,0,8,0.085
1,"bradykin",1.56,0.923,0,4,0.042
1,"rigidity",1.506,0.938,0,5,0.043
1,"axial",1.773,1.507,0,7,0.069
1,"scmmotcp",1.558,2.19,0,12,0.1
1,"nms1",0.736,1.519,0,12,0.069
1,"nms2",0.087,0.523,0,6,0.024
1,"nms3",1.202,2.143,0,12,0.097
1,"nms4",1.977,2.959,0,12,0.134
1,"nms5",1.455,2.956,0,12,0.134
1,"nms6",0.715,1.764,0,12,0.08
1,"nms7",0.62,1.606,0,12,0.073
1,"nms8",0.99,2.111,0,12,0.096
1,"nms9",1.18,2.288,0,12,0.104
1,"nms10",1.136,2.212,0,12,0.101
1,"nms11",0.5,1.416,0,12,0.064
1,"nms12",0.56,1.675,0,12,0.076
1,"nms13",0.219,1.072,0,12,0.049
1,"nms14",0.122,0.917,0,12,0.042
1,"nms15",0.254,1.08,0,8,0.049
1,"nms16",1.419,2.49,0,12,0.113
1,"nms17",1.157,2.077,0,12,0.094
1,"nms18",0.934,2.03,0,12,0.092
1,"nms19",0.899,2.131,0,12,0.097
1,"nms20",0.562,1.57,0,12,0.071
1,"nms21",1.934,3.3,0,12,0.15
1,"nms22",1.671,2.717,0,12,0.124
1,"nms23",1.548,2.776,0,12,0.126
1,"nms24",2.436,3.192,0,12,0.145
1,"nms25",1.114,2.501,0,12,0.114
1,"nms26",1.081,2.707,0,12,0.123
1,"nms27",0.965,2.405,0,12,0.109
1,"nms28",1.967,3.329,0,12,0.151
1,"nms29",1.012,1.952,0,12,0.089
1,"nms30",1.027,2.497,0,12,0.113
2,"age",65.263,9.969,39,86,0.598
2,"sex",0.349,0.477,0,1,0.029
2,"pdonset",56.475,11.089,30,84,0.665
2,"durat_pd",8.788,5.998,0,39,0.36
2,"cisitot",10.291,3.604,2,22,0.216
2,"nms_d1",1.399,2.365,0,12,0.142
2,"nms_d2",8.655,7.155,0,32,0.429
2,"nms_d3",8.32,9.952,0,60,0.597
2,"nms_d4",0.91,2.113,0,12,0.127
2,"nms_d5",3.968,5.195,0,30,0.312
2,"nms_d6",5.457,5.927,0,26,0.355
2,"nms_d7",6.558,6.676,0,36,0.4
2,"nms_d8",2.759,4.343,0,24,0.26
