"cluster","variable","mean","sd","min","max","se"
2,"nms_d9",7.115,7.132,0,31,0.428
2,"tremor",3.64,2.821,0,12,0.169
2,"bradykin",3.435,1.013,1,6,0.061
2,"rigidity",3.162,1.084,0,6,0.065
2,"axial",4.504,2.424,0,12,0.145
2,"scmmotcp",3.759,2.903,0,12,0.174
2,"nms1",1.169,2.072,0,12,0.124
2,"nms2",0.23,0.89,0,9,0.053
2,"nms3",1.647,2.356,0,12,0.141
2,"nms4",3.126,3.399,0,12,0.204
2,"nms5",2.471,3.439,0,12,0.206
2,"nms6",1.41,2.731,0,12,0.164
2,"nms7",1.363,2.495,0,12,0.15
2,"nms8",1.791,2.807,0,12,0.168
2,"nms9",1.77,2.627,0,12,0.158
2,"nms10",2.317,3.236,0,12,0.194
2,"nms11",1.198,2.409,0,12,0.145
2,"nms12",1.245,2.497,0,12,0.15
2,"nms13",0.45,1.413,0,12,0.085
2,"nms14",0.112,0.599,0,6,0.036
2,"nms15",0.349,1.077,0,8,0.065
2,"nms16",1.403,2.182,0,12,0.131
2,"nms17",1.374,2.13,0,12,0.128
2,"nms18",1.191,1.959,0,12,0.117
2,"nms19",2.18,3.231,0,12,0.194
2,"nms20",0.989,2.184,0,12,0.131
2,"nms21",2.288,3.332,0,12,0.2
2,"nms22",1.737,2.642,0,12,0.158
2,"nms23",1.838,2.813,0,12,0.169
2,"nms24",2.982,3.377,0,12,0.203
2,"nms25",1.468,2.765,0,12,0.166
2,"nms26",1.291,2.639,0,12,0.158
2,"nms27",1.971,3.407,0,12,0.204
2,"nms28",2.061,3.3,0,12,0.198
2,"nms29",1.399,2.456,0,12,0.147
2,"nms30",1.683,3.223,0,12,0.193
3,"age",67.718,9.474,50,89,0.795
3,"sex",0.444,0.499,0,1,0.042
3,"pdonset",56.634,10.752,25,87,0.902
3,"durat_pd",11.085,7.304,0,40,0.613
3,"cisitot",13.042,5.027,2,24,0.422
3,"nms_d1",5.514,5.482,0,24,0.46
3,"nms_d2",20.599,9.35,0,48,0.785
3,"nms_d3",24.049,14.529,0,60,1.219
3,"nms_d4",6.648,6.49,0,33,0.545
3,"nms_d5",14.641,10.301,0,36,0.864
3,"nms_d6",12.93,9.237,0,36,0.775
3,"nms_d7",19.268,10.068,0,36,0.845
3,"nms_d8",9.57,9.304,0,24,0.781
3,"nms_d9",14.423,9.158,0,40,0.769
3,"tremor",2.732,3.349,0,12,0.281
3,"bradykin",3.232,1.583,0,6,0.133
3,"rigidity",2.873,1.602,0,6,0.134
3,"axial",5.838,3.019,0,12,0.253
3,"scmmotcp",4.697,3.789,0,12,0.318
3,"nms1",4.289,3.939,0,12,0.331
3,"nms2",1.225,2.519,0,12,0.211
3,"nms3",4.866,4.1,0,12,0.344
3,"nms4",7.099,3.791,0,12,0.318
3,"nms5",5.254,4.398,0,12,0.369
3,"nms6",3.38,3.976,0,12,0.334
3,"nms7",4.254,3.867,0,12,0.325
3,"nms8",5.352,4.371,0,12,0.367
3,"nms9",5.338,4.384,0,12,0.368
3,"nms10",5.423,4.172,0,12,0.35
3,"nms11",3.254,3.836,0,12,0.322
3,"nms12",4.683,4.277,0,12,0.359
3,"nms13",2.289,3.177,0,12,0.267
3,"nms14",2.134,3.475,0,12,0.292
3,"nms15",2.225,3.506,0,12,0.294
3,"nms16",5.021,4.024,0,12,0.338
3,"nms17",5.176,4.031,0,12,0.338
3,"nms18",4.444,4.147,0,12,0.348
3,"nms19",4.465,4.561,0,12,0.383
3,"nms20",2.951,3.363,0,12,0.282
3,"nms21",5.514,4.829,0,12,0.405
3,"nms22",6.239,4.306,0,12,0.361
3,"nms23",6.12,4.272,0,12,0.358
3,"nms24",6.908,4.271,0,12,0.358
3,"nms25",4.993,5.156,0,12,0.433
3,"nms26",4.577,5.127,0,12,0.43
3,"nms27",3.761,4.324,0,12,0.363
3,"nms28",4.268,4.467,0,12,0.375
3,"nms29",3.303,3.912,0,12,0.328
3,"nms30",3.092,3.966,0,12,0.333
