cluster,var,mean,sd,min,max
1,age,62.69,9.43,37,89
1,sex,0.39,0.49,0,1
1,pdonset,56.04,10.41,28,89
1,durat_pd,6.65,4.66,0,26
1,cisitot,5.76,3.15,0,15
2,age,66.17,9.74,38,86
2,sex,0.32,0.47,0,1
2,pdonset,57.78,11.19,32,84
2,durat_pd,8.39,5.79,0,31
2,cisitot,9.95,3.5,2,22
3,age,68.62,9.2,50,89
3,sex,0.46,0.5,0,1
3,pdonset,57.24,10.46,35,87
3,durat_pd,11.38,7.52,0,40
3,cisitot,13.52,5.01,2,24
