"cluster","variable","mean","sd","min","max","se"
1,"age",63.176,9.676,34,89,0.371
1,"sex",0.358,0.48,0,1,0.018
1,"pdonset",56.053,10.623,28,89,0.407
1,"durat_pd",7.123,4.975,0,28,0.191
1,"cisitot",6.842,3.55,0,16,0.136
1,"nms_d1",0.902,1.819,0,12,0.07
1,"nms_d2",5.826,6.045,0,32,0.231
1,"nms_d3",4.651,6.541,0,40,0.25
1,"nms_d4",0.541,1.789,0,20,0.069
1,"nms_d5",3.262,4.755,0,30,0.182
1,"nms_d6",3.572,4.584,0,25,0.176
1,"nms_d7",5.548,6.705,0,36,0.257
1,"nms_d8",2.23,4.18,0,24,0.16
1,"nms_d9",5.353,6.427,0,48,0.246
1,"tremor",2.452,2.299,0,12,0.088
1,"bradykin",2.085,1.227,0,6,0.047
1,"rigidity",1.969,1.206,0,6,0.046
1,"axial",2.397,1.936,0,10,0.074
1,"scmmotcp",2.101,2.527,0,12,0.097
1,"nms1",0.776,1.592,0,12,0.061
1,"nms2",0.126,0.663,0,9,0.025
1,"nms3",1.271,2.143,0,12,0.082
1,"nms4",2.04,2.858,0,12,0.109
1,"nms5",1.632,2.986,0,12,0.114
1,"nms6",0.883,2.113,0,12,0.081
1,"nms7",0.71,1.656,0,12,0.063
1,"nms8",1.006,2.037,0,12,0.078
1,"nms9",1.233,2.258,0,12,0.086
1,"nms10",1.251,2.265,0,12,0.087
1,"nms11",0.559,1.493,0,12,0.057
1,"nms12",0.603,1.689,0,12,0.065
1,"nms13",0.211,0.971,0,12,0.037
1,"nms14",0.101,0.795,0,12,0.03
1,"nms15",0.229,0.951,0,8,0.036
1,"nms16",1.298,2.293,0,12,0.088
1,"nms17",1.091,1.971,0,12,0.075
1,"nms18",0.874,1.863,0,12,0.071
1,"nms19",1.043,2.258,0,12,0.086
1,"nms20",0.597,1.596,0,12,0.061
1,"nms21",1.933,3.23,0,12,0.124
1,"nms22",1.575,2.588,0,12,0.099
1,"nms23",1.538,2.681,0,12,0.103
1,"nms24",2.435,3.111,0,12,0.119
1,"nms25",1.117,2.427,0,12,0.093
1,"nms26",1.113,2.67,0,12,0.102
1,"nms27",1.157,2.619,0,12,0.1
1,"nms28",1.935,3.272,0,12,0.125
1,"nms29",1.12,2.125,0,12,0.081
1,"nms30",1.141,2.656,0,12,0.102
2,"age",67.653,9.682,42,89,0.65
2,"sex",0.441,0.498,0,1,0.033
2,"pdonset",56.923,11.004,25,87,0.739
2,"durat_pd",10.73,7.178,0,40,0.482
2,"cisitot",12.743,4.651,2,24,0.312
2,"nms_d1",4.302,4.954,0,24,0.332
2,"nms_d2",17.779,9.445,0,48,0.634
2,"nms_d3",21.032,14.444,0,60,0.969
2,"nms_d4",5.027,5.973,0,33,0.401
2,"nms_d5",11.964,9.907,0,36,0.665
2,"nms_d6",11.532,8.656,0,36,0.581
2,"nms_d7",15.82,10.356,0,36,0.695
2,"nms_d8",7.509,8.432,0,24,0.566
2,"nms_d9",12.527,9.008,0,40,0.605
2,"tremor",2.995,3.256,0,12,0.219
2,"bradykin",3.365,1.485,0,6,0.1
2,"rigidity",3.032,1.484,0,6,0.1
2,"axial",5.874,2.915,0,12,0.196
2,"scmmotcp",4.653,3.524,0,12,0.237
2,"nms1",3.428,3.683,0,12,0.247
2,"nms2",0.874,2.126,0,12,0.143
2,"nms3",3.892,3.893,0,12,0.261
2,"nms4",6.5,3.945,0,12,0.265
2,"nms5",4.613,4.387,0,12,0.294
2,"nms6",2.775,3.647,0,12,0.245
2,"nms7",3.599,3.843,0,12,0.258
2,"nms8",4.734,4.239,0,12,0.285
2,"nms9",4.414,4.204,0,12,0.282
2,"nms10",5.005,4.195,0,12,0.282
2,"nms11",2.955,3.688,0,12,0.248
2,"nms12",3.923,4.119,0,12,0.276
2,"nms13",1.856,2.945,0,12,0.198
2,"nms14",1.459,2.974,0,12,0.2
2,"nms15",1.712,3.07,0,12,0.206
2,"nms16",4.077,3.852,0,12,0.259
2,"nms17",4.203,3.823,0,12,0.257
2,"nms18",3.685,3.805,0,12,0.255
2,"nms19",4.342,4.34,0,12,0.291
2,"nms20",2.518,3.284,0,12,0.22
2,"nms21",4.671,4.615,0,12,0.31
2,"nms22",4.973,4.303,0,12,0.289
2,"nms23",4.865,4.328,0,12,0.29
2,"nms24",5.982,4.355,0,12,0.292
2,"nms25",4.027,4.833,0,12,0.324
2,"nms26",3.482,4.654,0,12,0.312
2,"nms27",3.423,4.254,0,12,0.286
2,"nms28",3.653,4.262,0,12,0.286
2,"nms29",2.631,3.553,0,12,0.238
2,"nms30",2.82,3.868,0,12,0.26
